Tarefa,Fase,Sprint,Status,Categoria,Prioridade,Notas
"S1.2 — Auth: Login com eye toggle + mensagens de erro",C,S1,Done,Frontend,Crítico,"app/(auth)/login/page.tsx — Supabase Auth, eye toggle, checklist de força de senha, mensagens PT-BR específicas"
"S1.3 — Auth: Cadastro com força de senha + checklist",C,S1,Done,Frontend,Crítico,"app/(auth)/signup/page.tsx — eye toggle, barra de força 4 níveis, checklist 4 requisitos, redireciona para /confirme-email"
"S1.4 — Auth: Página de confirmação de email dedicada",C,S1,Done,Frontend,Crítico,"app/(auth)/confirme-email/page.tsx — 3 passos visuais, polling automático (5s), reenvio de email, Suspense boundary"
"S1.5 — Auth: Tenant provisioning + trial 7 dias",C,S1,Done,Backend,Crítico,"lib/auth/provision.ts — cria tenant + trial no signup. API /api/auth/ensure-profile"
"S1.6 — Auth: Callback OAuth email",C,S1,Done,Backend,Crítico,"app/auth/callback/route.ts — troca code por sessão, redireciona para /sites"
"S2 — Onboarding wizard 6 steps funcional",C,S2,Done,Frontend,Crítico,"app/onboarding/page.tsx — Nominatim autocomplete de cidade, slider raio 5-300km, autossalvo Supabase, score CPF dinâmico (C/P/F), tooltips fade in/out, keywords sugeridas, card de impacto por step, bloqueio ≥70%"
"S2.1 — Score CPF dinâmico (Método CPF no onboarding)",C,S2,Done,Frontend,Alto,"Barras de sinal Marca/Posição/Vendas no header. Card de impacto por step em linguagem leiga. Score expandido no Step 6 com 3 barras independentes"
"S2.2 — GBP OAuth Google",C,S2,A fazer,Backend,Crítico,"Timer de 2-6 semanas no Google — começar AGORA. Placeholder 'em breve' no Step 6"
"S3 — Galeria de templates split-panel",C,S3,Done,Frontend,Crítico,"app/templates/page.tsx — sidebar 14 nichos + 3 paletas, preview iframe ao vivo, toggle Desktop/Mobile (moldura iPhone), botão 'Usar este modelo' cria registro no banco"
"S3.1 — Template visual (SiteTemplate — Server Component)",C,S3,Done,Frontend,Crítico,"components/templates/SiteTemplate.tsx — 7 seções (nav, hero, serviços, sobre, depoimentos, FAQ≥6, CTA, footer) + schema JSON-LD + FAQPage (AEO)"
"S3.2 — Sistema de paletas 14 nichos × 3",C,S3,Done,Frontend,Alto,"lib/templates/palettes.ts — CSS variables inline, fallback seguro"
"S3.3 — Conteúdo de exemplo por nicho",C,S3,Done,Frontend,Alto,"lib/templates/example-content.ts — 3 nichos com exemplo real (advocacia, servicos, clinica) + fallback genérico"
"S3.4 — Preview routes (com e sem auth)",C,S3,Done,Frontend,Alto,"app/preview/[siteId]/page.tsx (auth) + app/preview/template/page.tsx (sem auth, para iframe da galeria)"
"S3.5 — Site publicado por domínio",C,S3,Done,Frontend,Alto,"app/[domain]/page.tsx — busca site por domínio, SSR, metadata SEO"
"S3.6 — Storybook (proteção de componentes)",C,S3,A fazer,Frontend,Alto,"Não implementado ainda — átomos e moléculas sem proteção por enquanto"
"Dashboard home (página inicial do painel)",C,S2,Done,Frontend,Crítico,"app/(dashboard)/sites/page.tsx — empty state, grid de cards por site, banner onboarding incompleto, próximos passos"
"Dashboard layout (sidebar)",C,S2,Done,Frontend,Alto,"app/(dashboard)/layout.tsx — sidebar nav, email do usuário, badge plano, LogoutButton"
"SMTP Resend configurado no Supabase",C,S1,A fazer,Backend,Alto,"Resolver rate limit de 4 emails/hora do free tier. Supabase → Auth → SMTP Settings → smtp.resend.com. Resend já está no stack"
"Rotacionar service_role key do Supabase",C,S1,A fazer,Segurança,Crítico,"Chave apareceu em chat (2026-06-04 e 2026-06-05). Supabase → Settings → API → Generate new JWT secret → atualizar .env.local e Vercel env vars"
"Migration nichos expandidos — rodar no Supabase",C,S1,Done,Schema,Alto,"supabase/migrations/20260604120000_expand_nichos.sql — EXECUTADO em 2026-06-05 via SQL Editor"
"S4 — Motor de IA: Agente Onboarding + streaming SSE",C,S4,A fazer,Backend,Crítico,"Depende dos Blocos 1-13 escritos. Preenche conteúdo real no template a partir do onboarding_profiles"
"S4.1 — Ligar onboarding_profiles ao template",C,S4,A fazer,Backend,Crítico,"Substituir conteúdo de exemplo (example-content.ts) pelo real do banco. Prioridade antes do motor completo"
"S5 — Pipeline de publicação (Sharp + JSON-LD + robots.txt IA + internal_links + seo-validator)",C,S5,A fazer,Backend,Crítico,"Aplica regras AEO 1/2/7"
"S6 — Agente de Blog + editor 3 modos + calendário",C,S6,A fazer,Backend,Crítico,"Filosofia nuclear — blog é o produto"
"S7 — Integração GBP: Agente GBP + posts + avaliações",C,S7,A fazer,Backend,Crítico,"Depende de S2.2 (OAuth aprovado)"
"S8 — Score SEO/GEO/AEO live (auditoria + dashboard)",C,S8,A fazer,Backend,Crítico,"Feedback visual em tempo real ao cliente"
"S9 — Stripe + trial 7d + cartão Day 6 + inadimplência 90d",C,S9,A fazer,Pagamento,Crítico,"Abstração PaymentProvider"
"S10 — Painel admin completo",C,S10,A fazer,Backend,Crítico,"UX cocktail — gestão prompts/clientes/faturamento/quotas"
"S11 — Landing page marketing (separada do app)",C,S11,A fazer,Frontend,Alto,"Marketing site self-service — a landing atual em app/page.tsx serve por enquanto"
"S12 — Sistema de quotas + tenant_usage + soft/hard caps",C,S12,A fazer,Backend,Alto,
"S13 — Domain auto-purchase Cloudflare Registrar",C,S13,A fazer,Backend,Alto,"Modelo híbrido Starter (+R$8/mês)"
"Beta com 2-5 clientes novos (1-2 semanas)",C,-,A fazer,Lançamento,Alto,"Após MVP A pronto"
"D1 — Agente Multilíngue + hreflang",D,D1,A fazer,Backend,Médio,"MVP B"
"D2 — White-label Agency",D,D2,A fazer,Backend,Médio,"MVP B"
"D3 — API access Agency",D,D3,A fazer,Backend,Médio,"MVP B"
"D4 — Painel multi-cliente Agency",D,D4,A fazer,Backend,Médio,"MVP B"
"D5 — Programa de afiliados/parceiros",D,D5,A fazer,Backend,Baixo,"MVP B"
"D6 — Internacionalização + Paypal + multi-moeda",D,D6,A fazer,Pagamento,Médio,"MVP B — usa abstração PaymentProvider do S9"
"D7 — Features extras Pro (backlog aberto)",D,D7,A fazer,Backend,Médio,
"D8 — Features extras Agency (backlog aberto)",D,D8,A fazer,Backend,Médio,
